Xfoil polar. Reynolds number fixed. Mach  number fixed,,,,,,
Polar key,xf-naca652415-il-200000,,,,,
Airfoil,naca652415-il,,,,,
Reynolds number,200000,,,,,
Ncrit,9,,,,,
Mach,0,,,,,
Max Cl/Cd,70.8128,,,,,
Max Cl/Cd alpha,6.75,,,,,
Url,http://airfoiltools.com/polar/csv?polar=xf-naca652415-il-200000,,,,,
,,,,,,
Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11,-0.4881,0.08509,0.08159,-0.0726,1,0.0726
-10.75,-0.5231,0.08247,0.07904,-0.0705,1,0.0726
-10.5,-0.5499,0.08157,0.07822,-0.0653,1,0.0724
-10.25,-0.5821,0.07572,0.07212,-0.0739,0.9887,0.0727
-10,-0.5975,0.07221,0.06819,-0.0789,0.9759,0.0732
-9.75,-0.561,0.06378,0.06015,-0.0808,0.9784,0.0761
-9.5,-0.5425,0.06022,0.05652,-0.084,0.9731,0.0788
-9.25,-0.5387,0.05628,0.05231,-0.0872,0.964,0.0828
-9,-0.4536,0.03772,0.03384,-0.095,0.9499,0.0936
-8.5,-0.5226,0.03638,0.02985,-0.0891,0.9413,0.0508
-8.25,-0.5038,0.03275,0.02605,-0.0886,0.9335,0.0495
-8,-0.477,0.03009,0.02307,-0.0893,0.9286,0.0494
-7.75,-0.4506,0.02868,0.02132,-0.0895,0.9233,0.0502
-7.5,-0.4285,0.02703,0.0194,-0.0887,0.9157,0.0508
-7.25,-0.3979,0.02468,0.01688,-0.0894,0.9117,0.0514
-7,-0.3708,0.0231,0.01525,-0.0895,0.9063,0.0524
-6.75,-0.346,0.02207,0.0142,-0.0891,0.8997,0.054
-6.5,-0.3181,0.02121,0.01329,-0.0892,0.8951,0.0564
-6.25,-0.2953,0.0205,0.01252,-0.0883,0.8881,0.0584
-6,-0.2708,0.01977,0.01172,-0.0877,0.8821,0.06
-5.75,-0.246,0.01887,0.01078,-0.0872,0.8779,0.0621
-5.5,-0.2294,0.01818,0.01016,-0.0856,0.8702,0.0656
-5.25,-0.2071,0.01764,0.00959,-0.0848,0.8647,0.0702
-5,-0.1863,0.017,0.00891,-0.0839,0.8596,0.0753
-4.75,-0.1675,0.01648,0.0084,-0.0827,0.8525,0.0836
-4.5,-0.1465,0.01568,0.0077,-0.0819,0.8478,0.1078
-4.25,-0.1455,0.01308,0.00699,-0.0794,0.8413,0.4793
-4,-0.1232,0.01317,0.00736,-0.078,0.8357,0.5981
-3.75,-0.096,0.01338,0.00751,-0.0773,0.8318,0.6335
-3.5,-0.0697,0.01367,0.00777,-0.0765,0.8276,0.6546
-3.25,-0.0457,0.01399,0.00808,-0.0755,0.8218,0.6713
-3,-0.0205,0.01446,0.00854,-0.0742,0.8177,0.6938
-2.75,0.0026,0.01531,0.00947,-0.0712,0.8146,0.7189
-2.5,0.0239,0.01587,0.01005,-0.069,0.8093,0.7338
-2.25,0.0488,0.01601,0.01015,-0.0683,0.8043,0.7409
-2,0.0772,0.0159,0.00993,-0.0687,0.8008,0.7475
-1.75,0.1054,0.0159,0.00987,-0.0685,0.798,0.7512
-1.5,0.1289,0.016,0.00995,-0.0681,0.7926,0.7558
-1.25,0.1567,0.01592,0.00978,-0.0687,0.788,0.7617
-1,0.1847,0.01585,0.00966,-0.0687,0.7846,0.765
-0.75,0.2135,0.01582,0.00959,-0.0688,0.782,0.7685
-0.5,0.2369,0.01597,0.00974,-0.0685,0.7769,0.7732
-0.25,0.2649,0.01594,0.00966,-0.0692,0.7725,0.7786
0,0.2921,0.01591,0.00963,-0.069,0.7692,0.7817
0.25,0.321,0.0159,0.00959,-0.0692,0.7666,0.7854
0.5,0.3451,0.01607,0.00978,-0.0691,0.762,0.7901
0.75,0.3717,0.01614,0.00985,-0.0694,0.7574,0.7954
1,0.3982,0.01616,0.00989,-0.0691,0.754,0.7988
1.25,0.4271,0.01616,0.00988,-0.0694,0.7514,0.803
1.5,0.4533,0.01632,0.01006,-0.0696,0.7476,0.8081
1.75,0.4765,0.0165,0.0103,-0.0692,0.7424,0.8129
2,0.5023,0.01658,0.01042,-0.0689,0.7389,0.8171
2.25,0.5318,0.01658,0.01044,-0.0693,0.7362,0.8222
2.5,0.5606,0.01667,0.01055,-0.0699,0.7329,0.8275
2.75,0.5789,0.01699,0.01098,-0.0685,0.7271,0.832
3,0.6057,0.01704,0.01108,-0.0684,0.7231,0.8376
3.25,0.6375,0.01695,0.01101,-0.0692,0.7201,0.8434
3.5,0.6579,0.01714,0.01131,-0.0679,0.7145,0.8483
3.75,0.6824,0.01722,0.01146,-0.0675,0.7089,0.8544
4,0.7133,0.01706,0.01134,-0.0679,0.705,0.8601
4.25,0.7359,0.0171,0.01148,-0.0668,0.6993,0.866
4.5,0.7626,0.01697,0.01141,-0.0665,0.6919,0.8734
4.75,0.7926,0.0165,0.01098,-0.0662,0.6853,0.8785
5,0.8233,0.01563,0.01008,-0.0655,0.6715,0.8848
5.25,0.845,0.01493,0.00939,-0.0635,0.6527,0.8923
5.5,0.8665,0.01448,0.00899,-0.0616,0.6371,0.9005
5.75,0.8886,0.01418,0.00873,-0.0601,0.6239,0.9088
6,0.9079,0.01396,0.00858,-0.0582,0.6082,0.9189
6.25,0.922,0.01375,0.00847,-0.0553,0.5895,0.9298
6.5,0.9364,0.01353,0.0083,-0.0524,0.5648,0.9429
6.75,0.9496,0.01341,0.00818,-0.0495,0.5264,0.9592
7,0.9596,0.014,0.00823,-0.0468,0.4117,0.9807
7.25,0.9453,0.01572,0.0092,-0.0415,0.2948,1
7.5,0.929,0.01808,0.01083,-0.0368,0.1821,1
7.75,0.9173,0.02059,0.01268,-0.0331,0.0983,1
8,0.92,0.02235,0.01426,-0.031,0.0746,1
8.25,0.9281,0.02379,0.01567,-0.0294,0.0651,1
8.5,0.9328,0.02548,0.0173,-0.0276,0.0598,1
8.75,0.9451,0.0267,0.01858,-0.0264,0.0555,1
9,0.9555,0.02806,0.01993,-0.0252,0.0521,1
9.25,0.9639,0.02971,0.02153,-0.0237,0.0492,1
9.5,0.9793,0.03085,0.02276,-0.0228,0.0469,1
9.75,0.9955,0.03203,0.02396,-0.0219,0.0451,1
10,1.0135,0.03321,0.02512,-0.0211,0.0434,1
10.25,1.0415,0.03452,0.02633,-0.021,0.0415,1
10.5,1.0685,0.03575,0.02767,-0.0208,0.04,1
10.75,1.0927,0.03695,0.029,-0.0206,0.0387,1
11,1.1194,0.03834,0.03051,-0.0206,0.0375,1
11.25,1.1482,0.03998,0.03227,-0.0208,0.0366,1
11.5,1.1764,0.04186,0.0343,-0.0211,0.0359,1
11.75,1.2026,0.04412,0.03674,-0.0212,0.0355,1
12,1.2233,0.04663,0.03948,-0.0209,0.0353,1
12.25,1.2393,0.0492,0.04221,-0.0204,0.0348,1
12.5,1.2537,0.05231,0.04552,-0.02,0.0343,1
12.75,1.261,0.0559,0.04935,-0.0189,0.034,1
13,1.2573,0.05866,0.05238,-0.0168,0.0342,1
13.25,1.2409,0.06165,0.05576,-0.0139,0.0348,1
13.5,1.1861,0.06866,0.06353,-0.0101,0.0369,1
13.75,1.1632,0.07416,0.06934,-0.0091,0.038,1
14,1.1431,0.07958,0.075,-0.0089,0.039,1
14.25,1.1248,0.08516,0.08076,-0.0093,0.0397,1
14.5,0.9564,0.08962,0.08587,-0.0069,0.0388,1
14.75,0.9181,0.09562,0.0921,-0.0093,0.0394,1
15,0.8845,0.10238,0.09904,-0.0128,0.0399,1
15.25,0.8898,0.10594,0.10262,-0.0134,0.0414,1
